white,white_elo,black,black_elo,result,date,moves
moryachokkk,1443,erneblanco2000,1575,0-1,????.??.??,e4 Nc6 d3 d5 Nc3 dxe4 Nxe4 e5 Nf3 Bg4 h3 f5 Nc3 e4 hxg4 exf3 Qxf3 Nd4 Qd1 Qe7+ Be3 fxg4 Be2 Nxe2 Qxe2 Nf6 Bg5 Qxe2+ Nxe2 Be7 c4 O-O-O O-O-O h5 f3 Rde8 Bxf6 Bxf6 Rd2 gxf3 gxf3 h4 d4 Rh5 Rh3 Ra5 b4 Ra3 Nf4 Bg5 Kb2 Bxf4 Kxa3 Bxd2 Rxh4 Re3+ Ka4 Rxf3 Rg4 Bh6 d5 Kd7 c5 a6 Re4 g5 b5 Rf4 Rxf4 axb5+ Kxb5 gxf4 a4 f3 c6+ bxc6+ dxc6+ Kd6 a5 f2 a6 f1=Q+ Ka5 Bd2+ Ka4
MisterBiggStuff,2146,zxcvbnmzxcvbnm,2031,1-0,????.??.??,e4 c6 d4 d6 Nc3 Nd7 Be3 Qc7 Qd2 e5 f4 Ngf6 fxe5 dxe5 d5 Bb4 O-O-O Nxe4 Qd3 Nxc3 bxc3 Ba3+ Kb1 Qa5 Ka1 e4 Qc4 O-O dxc6 Ne5 Qb3 Be6 c4 Bxc4 Bxc4 Nxc4 Qxc4 bxc6 Bd2 Qb6 Rb1 Qf2 Qe2 Qd4+ c3 Qd6 Bc1 Bc5 Nh3 Rab8 Bb2 Rxb2 Rxb2 Re8 Rd1 Qe7 Nf2 Ba3 Rb3 a5 Nxe4 a4 Nf6+ gxf6 Qxe7 Rxe7 Rxa3 Re3 Rxa4 Kg7 Ra8 Rxc3 Rad8 Rc5 R8d4 Rg5 h3 Rxg2 Rg4+ Rxg4 hxg4 h6 Rc1 Kg6 Rxc6 Kg5 a4 Kxg4 a5 Kg5 a6 f5 a7 f4 a8=Q Kg4 Qg8+ Kf3 Rxh6 Ke3 Qxf7 f3 Rf6 Kf2 Rxf3+ Ke2 Qf4
Tata190,1880,aurorachess,1813,0-1,????.??.??,f4 e6 Nf3 d5 e3 f5 d4 Nf6 Be2 c5 O-O cxd4 exd4 Nc6 c3 Bd6 Ne5 O-O Nd2 Bd7 Ndf3 Rc8 Bd2 Bb8 Bd3 Qc7 Qe2 Ne4 Be1 Nxe5 fxe5 h6 Rc1 g5 c4 dxc4 Bxc4 Qb6 Kh1 Bc6 h3 g4 hxg4 fxg4 Nh4 h5 Qe3 Rxf1+ Bxf1 Rf8 Bd3 Bxe5 Bxe4 Bxe4 Qxe4 Qxd4 Qxd4 Bxd4 Rc7 Rf7 Rxf7 Kxf7 Bc3 e5 Bxd4 exd4
CreamPie91,1748,saponaro,1883,0-1,????.??.??,e3 e5 Qf3 d5 Qe2 Nf6 d4 Nc6 dxe5 Nxe5 Nc3 Bd6 f4 O-O g4 Nexg4 h3 Nh6 Bg2 Ne4 Nxe4 dxe4 Bxe4 Qh4+ Kd2 Bd7 Nf3 Rad8 Nxh4 Bc6 Nf5 Bb4#
Milann,1715,Timur_kh,1656,0-1,????.??.??,d4 g6 c4 f5 Nc3 Nf6 Bg5 Bg7 f3 d5 cxd5 Nxd5 e4 Nxc3 bxc3 fxe4 fxe4 O-O Nf3 Bg4 Be2 c5 e5 Nc6 h3 Bf5 Be3 cxd4 cxd4 Qa5+ Bd2 Qa3 Qb3+ Qxb3 axb3 Be4 Bc3 Rad8 Rd1 Bc2 Bc4+ Kh8 Rd2 Be4 O-O a6 Ng5 Bh6 Rxf8+ Rxf8 d5 Bxg5 e6+ Kg8 dxc6 Bxd2 Bxd2 Bxc6
gtgiraud3,1377,javid234,1412,1-0,????.??.??,f4 b6 Nf3 Bb7 e3 Bxf3 Qxf3 Nc6 c4 e6 Nc3 Bb4 Be2 Bxc3 bxc3 Nge7 O-O O-O e4 Ng6 Qg3 d5 f5 exf5 exf5 Qd6 fxg6 Qxg3 gxh7+ Kxh7 hxg3 Ne5 Kf2 Kg8 Rh1 c5 d3 d4 Bf4 f6 cxd4 cxd4 a4 Rad8 a5 Rd6 axb6 Rxb6 c5 Rb2 c6 Nxd3+ Kf3 Nxf4 gxf4 Re8 Bc4+ Kf8 Rxa7 Re3+ Kg4 Rxg2+ Kf5 Rf2 Rh8#
ver_vas,1847,ojosearp,1752,1-0,????.??.??,e4 e6 d4 d5 e5 c5 c3 Qb6 Nf3 Nc6 Bd3 cxd4 cxd4 Nh6 Bxh6 gxh6 O-O Be7 Nc3 O-O Qd2 f5 exf6 Rxf6 Rfe1 Bd7 Re3 Raf8 Rae1 Kh8 Bb1 Rg8 Ne2 Na5 b3 Bb4 Nc3 Qc7 Rc1 Qd6 Ne5 Nc6 Qd3 Qe7 Rh3 Bd6 Rxh6 Rxh6 f4 Nxd4 Qxd4 Bc5 Nf7#
Hondurass,1510,ShemoshenkoDenys,1532,0-1,????.??.??,d4 Nf6 c4 e6 Nc3 Bb4 Bd2 O-O a3 Bxc3 Bxc3 Ne4 Rc1 Nc6 Nf3 Nxc3 Rxc3 d6
pavanpakar,1155,faramarz1360,1271,0-1,????.??.??,e4 e6 Nf3 d6 Bc4 c6 Ng5 Nd7 d3 f6 Nxe6 Qe7 Nc7+ Kd8
saponaro,1892,CreamPie91,1741,1-0,????.??.??,e4 e6 d4 g6 Nc3 Ne7 Nf3 Bg7 Bg5 O-O e5 Qe8 Ne4 c6 Nf6+ Bxf6 Bxf6 Nd5 h4 Nxf6 exf6 Qd8 h5 Qxf6 hxg6 fxg6 Bd3 Na6 Qe2 Nc7 Qe4 Nd5 Qh4 h5 Qg3 Qf4 Qxf4 Nxf4 Bxg6 Nxg6 Rxh5 Kg7 Rg5 Rxf3 gxf3 d5 Rg4 Kf6 O-O-O e5 dxe5+ Nxe5 Rf4+ Ke6 Rh4 Kd6 Re1 Nd7 Rh6+ Kc5 f4 b5 Re3 Bb7 c3 Nb6 b4+ Kc4 Kc2 Na4 Rh4 Re8 f5+ Re4 Rhxe4+ dxe4 Rxe4+ Kd5 Rd4+ Ke5 Rd7 Nb6 Rxb7 Nd5 Rxa7 Nf4 Re7+ Kxf5 Re3 Nd5 Kb3 Nxe3 fxe3 Ke4 a4 Kxe3 a5 Kd3 a6 c5 a7 c4+ Kb2
kvanvel,1121,greenchicken,1291,0-1,????.??.??,e4 c6 Bc4 d5 exd5 cxd5 Bd3 Nf6 Nf3 Bg4 h3 Bh5 g4 Bg6 Nc3 Bxd3 cxd3 e6 b3 Be7 Qe2 Nc6 Bb2 O-O O-O-O d4 Nb1 e5 Qe1 Rc8 Qg1 Nb4+ Nc3 dxc3 dxc3 Nxa2+ Kc2 Bb4 Ba3 Bxa3 Ra1 Nb4+
eric55,1286,elipierce,1159,1-0,????.??.??,e4 d5 exd5 Qxd5 Nc3 Qe6+ Be2 Nf6 Nh3 Ne4 Nxe4 Qxe4 f3 Qg6 Nf4 Qf6 Nd5 Qd4 Nxc7+ Kd8 Nxa8 e6 c3 Qc5 b4 Qc6 O-O a5 bxa5 Bc5+ Kh1 Qa6
guillermo1066,1535,nichiren1967,1931,0-1,????.??.??,e4 e5 Bc4 Qe7 Nf3 d6 Qe2 c6 h3 f5 O-O f4 Nh2 Be6 Qh5+ g6 Qf3 Bxc4 d3 Be6 g3 fxg3 fxg3 Nd7 Ng4 O-O-O Bg5 Qe8 Bxd8 Qxd8 Nc3 Nh6 Nxh6 Bxh6 a4 Bxh3 Rfc1 Rf8 Qe2 Qg5 Nd1 Qxg3+ Kh1 Bf4 Qh2 Qe1+ Qg1 Qe2 Nf2 Be3 Rf1 Rf3 Rae1 Bxf2 Rxe2 Bxg1 Rxf3 Bg4 Rg3 Bxe2 Rxg1 Bh5 Rg2 Nf6 Rf2 Ng4 Rf8+ Kd7 Rf7+ Ke6 Rf6+ Ke7 Rf7+ Kxf7 Kg1 Nf2
ruxyxyi,1554,Voldemar15,1455,0-1,????.??.??,e4 e5 Bc4 Nc6 Qh5 Qe7 Nf3 Nf6 Qg5 h6 Qh4 Qc5 d3 Be7 Qg3 Nh5 Qg4 g6 Bxf7+ Kxf7 Nc3 d5 Nxe5+ Nxe5 Qe2 Kg7 Nxd5 Be6 Nc3 Bf6 O-O Bg4 Qd2 Bg5 Qe1 Bxc1 Rxc1 Nf4 Qd2 g5 d4 Qd6 Nb5 Nc4 Nxd6 Nxd2 Nf5+ Kf8 Rfe1 Ne2+ Kh1 Nxc1 Rxc1 Nxe4 f3 Bxf5 fxe4 Bxe4 Kg1 Rd8 c3 g4 g3 Bf3 Re1 Re8
nengahsuta,1653,blad4847,1423,1-0,????.??.??,e4 e5 Nf3 Nc6 Bc4 Nf6 d4 Nxe4 dxe5 Bb4+ c3 Be7 Qd5 O-O Qxe4 Na5 Qe2 d6 O-O Bg4 Bb3 Bxf3 Qxf3 dxe5 Be3 Nc6 Nd2 Kh8 Ne4 f5 Rad1 Qe8 Nd2 e4 Qf4 Bd6 Qh4 Ne5 Bd4 Ng6 Qg5 Bf4 Qh5 Bh6 Qxh6 Ne5 Qf4 Ng4 f3 Nf6 fxe4 fxe4 Qg5 b6 Rxf6 Rf7 Rxf7 Qxf7 Bxf7
zetelac,1627,traxtor8,1344,1-0,????.??.??,g3 e5 Bg2 Nf6 b3 Bc5 Bb2 Bxf2+ Kxf2 Ng4+ Ke1 O-O e3 d5 c3 Qf6 Qe2 Nc6 a3 d4 cxd4 exd4 e4 Qd6 d3 Re8 Nf3 Ne3 Kf2 Nxg2 Kxg2 f5 Nbd2 fxe4 Nxe4 Qg6 Nxd4 Qh6 Nxc6 bxc6 Rhf1 Bh3+ Kh1 Bxf1 Rxf1 c5 Qf3 Rf8 Qg2 Rxf1+ Qxf1 Rf8 Qg2 Qa6 Qe2 Qc6 Kg2 c4 Qf3 Rxf3 Kxf3 Qe8 bxc4 Qf7+ Ke3 Qh5 h4 Qh6+ Ke2 Qa6 Ke3 Qa4 Ng5 Qc2 Bd4 Qd1 Ke4 Qe1+ Kf3 Qe8 Kg4 Qf8 Ne6 Qe7 Nxg7 Qxg7+ Kh3
obtainedmist,1491,victorfv,1556,0-1,????.??.??,e4 c5 Bc4 e6 Nc3 a6 a3 b5 Ba2 Bb7 Nf3 d5 d3 dxe4 dxe4 Qxd1+ Kxd1 Nc6 Be3 O-O-O+ Ke2 Nf6 Rhd1 Be7 e5 Ng4 Rxd8+ Rxd8 Rd1 Rxd1 Nxd1 Ngxe5 Nxe5 Nxe5 Bf4 Ng6 g3 Nxf4+ gxf4 Be4 c3 c4 f3 Bd5 Ne3 Bc6 Bb1 h6 Ng4 Kc7 Ne5 Be8 Be4 f6 Ng4 f5 Bc2 fxg4 fxg4 Bd6 Kf3 Bc6+ Kg3 a5 h4 b4 cxb4 axb4 axb4 Bxb4 h5 Bc5 b3 Bd5 bxc4 Bxc4 Be4 Bb4 Kf3 Bb3 Bg6 Bd1+ Kg3 Be1+ Kh3 Be2 g5 Bf1+ Kg4 Be2+ Kh3 Kd6 gxh6 gxh6 Kg2 Kd5 f5 exf5 Bxf5 Ke5 Bg6 Kf4 Bf7 Kg5 Be8 Bxh5 Bxh5 Kxh5 Kf1 Ba5 Ke2 Kh4 Kd3 Kh3 Kc4 h5 Kb5 Bc7 Kc6 Bb8 Kb7 Bg3 Kc6 Kg2 Kd5 h4 Kd4 h3 Kd5 h2 Kd4 h1=Q Kd5 Qe1 Kd4 Kf3 Kd5 Qe3 Kc4 Ke4 Kb5 Qd4 Kc6 Ke5 Kb5 Kd5 Ka6 Qc4+ Kb7 Qc6+ Ka7 Kd6 Kb8 Qc7+ Ka8 Qf7 Kb8 Kc6+ Ka8 Qb7#
wiktor1,1627,kokos2,1629,1-0,????.??.??,d4 d5 Nf3 e6 h3 c5 Bg5 f6 Bh4 Nc6 e3 c4 Be2 Bd6 Nbd2 Qc7 Nf1 Nge7 Bg3 O-O c3 Bd7 b3 b5 a4 a6 axb5 axb5 bxc4 bxc4 N3d2 Nf5 Bxd6 Nxd6 Ng3 f5 O-O Ne4 Ndxe4 fxe4 Qc2 Rxa1 Rxa1 Qb7 Rb1 Qa7 Qb2 Rb8 Qc2 g6 Bg4 Rxb1+ Qxb1 Qb8 Qxb8+ Nxb8 Ne2 Kf7 h4 h5 Bh3 Nc6 Kf1 Be8 Nf4 Nd8 Ke2 Kf6 g3 e5 Nxd5+
figur,1363,Quique75,1572,1-0,????.??.??,e4 b6 Nc3 Bb7 Bc4 e6 Qe2 Bb4 Nf3 Nf6 O-O Bxc3 bxc3 Nxe4 d3 Nxc3 Qe5 Bxf3 gxf3 Qf6 Qxc7 Ne2+ Kg2 Qg6+ Kh3 Ng1+ Rxg1 Qxg1 Qc8+ Ke7 Qxh8 Qxf2 Bg5+ Kd6 Qf8+ Kc7 Qxf7 Nc6 Bxe6 Qd4 c3 Qxd3 Bc4 Qxc3 Bf4+ Ne5 Bxe5+ Qxe5 Rg1 g5 Rc1 g4+ Kg2 gxf3+ Kh3
Vitalij,1623,chanakya,1418,0-1,????.??.??,e4 e5 Nf3 d6 Bc4 Be7 d4 exd4 Nxd4 Bf6 O-O Bd7 Qh5 Qe7 Nf5 Bxf5 exf5 Be5 f4 Nf6 Qh4 Bd4+ Kh1 O-O c3 Bb6 Nd2 Nbd7 Nf3 Rae8 Bd2 d5 Bb3 c6 Rae1 Ne4 Qxe7 Rxe7 Rxe4 dxe4 Ng5 Nf6 c4 e3 Re1 h6 Nf3 Ng4 Bc3 e2 Nd4 Rfe8 Kg1 Bxd4+ Bxd4 Re4 h3 Rxd4 hxg4 Rxf4 c5 Rxg4 Bc2 Rf4 Bd3 Re5 Bxe2 Rfxf5
akhavan1860,1580,Tata190,1864,0-1,????.??.??,b3 c6 Bb2 d6 e4 f6 d3 e5 Qh5+ g6 Qe2 Be6 f4 Nd7 fxe5 dxe5 Nf3 Qc7 Nbd2 h5 Nc4 h4 h3 O-O-O O-O-O Bh6+ Kb1 Nb6 Nxb6+ axb6 Bc1 Bf8 Bb2 b5 Nd2 Nh6 Rg1 Nf7 g4 g5 Nf3 Be7 Nd2 b6 Ka1 Kb7 Nb1 Ra8 a3 Ra7 Ka2 Rha8 Qd2 b4 a4 Rxa4+ Na3 Rxa3+ Bxa3 Rxa3+ Kb1 Bc5 Rg2 Bd4
quimoteJC,1776,alexey87,1579,1-0,????.??.??,e4 d5 Nf3 c6 exd5 Nf6 d4 Bf5 Bd3 Bg6 Bxg6 hxg6 c3 Nxd5 Nbd2 e6 Nb3 Bd6 Be3 Qc7 h3 f6 Qd2 g5 O-O-O Nd7 Nc5 O-O-O Nxe6 Qa5 Kb1 Rde8 Nxg7 Reg8 Nf5 Bf8 c4 Qxd2 Rxd2 Nxe3 fxe3 Bb4 Rc2 Re8 a3 Ba5 b4 Bc7 Re2 Nf8 Ng7 Re4 Nd2 Re7 Nf5 Re6 Nb3 Ng6 Nc5 Ree8 Ng7 Rd8 Nge6 Rde8 Ng7 Re7 Nf5 Ree8 Kb2 Ne7 Ng7 Reg8 Nce6 Kd7 Nxc7 Kxc7 Ne6+ Kd6 Nc5 b6 Nd3 Re8 e4 Ng6 Rhe1 Re7 e5+ fxe5 Nxe5 Kc7 Nxg6
hipeRRRRactivo,1278,VIKTOR1962,1474,0-1,????.??.??,e4 Nf6 Nc3 e5 Nf3 d6 h3 c5 d3 Nc6 Bg5 Be7 Be2 h6 Bxf6 Bxf6 O-O O-O Nd5 Be6 Nxf6+ Qxf6 a4 Qg6 g4 h5 g5 f6 Nh4 Qxg5+ Kh2 Qxh4 Bxh5 Qxh3+ Kg1 Kh7 f3 Qxh5 Rf2 Qg5+ Rg2 Qf4 Kf2 Rh8 c4 Kg8 Qb3 b6 Rg4 Bxg4
chesslion,1887,saponaro,1900,0-1,????.??.??,d4 Nf6 c4 e6 Nc3 Bb4 Bg5 Bxc3+ bxc3 d6 e4 h6 e5 hxg5 exf6 Qxf6 Qd3 Nd7 Nf3 c5 Nd2 e5 Ne4 Qe7 d5 f5 Nd2 Nf6 Be2 e4 Qe3 f4 Nxe4 fxe3 Nxf6+ Qxf6 fxe3 Bg4 Rf1 Qxc3+ Kf2 Bxe2 Kxe2 Qxc4+ Kd2 Qxd5+
AbuGeber,1734,Eddy_Proud,1745,0-1,????.??.??,e4 c6 c4 d5 exd5 cxd5 Nc3 dxc4 Bxc4 e6 d4 a6 Nf3 Nf6 O-O Be7 d5 O-O dxe6 Bxe6 Bxe6 fxe6 Qe2 Qb6 Be3 Qc6 Ne5 Qc7 Bf4 Qb6 Rfe1 Nd5 Nxd5 exd5 Bg3 Bc5 b3 Nc6 Nd7 Qb5 Qe6+ Kh8 Nxf8 Rxf8 Rad1 Nd4 Qg4 Nf5 Be5 Bxf2+ Kh1 Kg8 Rf1 g6
olenchuk,1711,vmcl,1636,1-0,????.??.??,e4 e6 Nf3 Nf6 Nc3 Bc5 d4 Bb4 Bg5 Bxc3+ bxc3 h6 Bh4 d6 e5 g5 Bg3 Nh5 exd6 Nxg3 dxc7 Qxc7 fxg3 Qxc3+ Nd2 Qe3+ Qe2 Qxd4 O-O-O Nc6 Nb3 Qf6 Qd2 O-O Bb5 Ne7 Rhf1 Qe5 Bd3 a5 Rde1 Qg7 Kb1 a4 Nd4 Qxd4 Bh7+
drcamps,1271,abcabc,1286,1-0,????.??.??,e4 g6 Bc4 Bg7 Nc3 Nc6 b4 Nf6 b5 Nb8 d3 c6 Bd2 cxb5 Bxb5 a6 Bc4 Nc6 a3 Na5 Ba2 Qc7 Na4 Nh5 Qf3 O-O Nh3 Bxa1 Ng5 Nf6 Bxa5
pederao,1398,Mur13,1250,1-0,????.??.??,e4 d5 exd5 Qxd5 Nc3 Qd8 Bc4 e5 Qh5 Be6 Bxe6 g6 Bxf7+ Kxf7 Qxe5 Nf6 Nf3 Bg7 Ng5+ Kf8 Ne6+ Kf7 Nxd8+ Kf8 Qxc7
FIREDUDE,1306,shojjati,1220,0-1,????.??.??,d4 d5 f4 Nc6 e3 e6 c3 Nf6 Nd2 Ng4 Qxg4 e5 Qe2 exd4 exd4+ Be7 b4 O-O Bb2 Re8 O-O-O Bxb4 Qb5 Ba5 Nb3 a6 Qc5 Bb6 Qa3 Qh4 g3 Qg4 h3 Qxg3 Ne2 Qe3+ Kb1 Bf5+ Ka1 a5 Bc1 Qf3 Nc5 Qxh1 Ng3 Qf3 Nxf5 Qxd1 Bg2 Re2 Bxd5 Nxd4 cxd4 Qxd4+ Bb2 Re1#
juanca_23,1572,xadrezz,1796,0-1,????.??.??,d4 d5 e4 dxe4 Nc3 Nf6 f3 exf3 Nxf3 g6 Be3 Bg7 Bb5+ c6 Bd3 Ng4 Qd2 O-O O-O a5 Ng5 Nxe3 Qxe3 Bxd4
waly,1491,mckittrick,1145,1-0,????.??.??,e4 e5 Nf3 d6 c3 Nd7 d4 exd4 cxd4 Ngf6 Bg5 h6 Bxf6 Qxf6 Nc3 Be7 Be2 Qg6 g3 Nf6 e5 dxe5 dxe5 Nh5 Nd5 O-O Nxe7+
Thoth33,1704,aurorachess,1828,1-0,????.??.??,e4 e6 d4 c6 c4 d5 cxd5 cxd5 e5 Nc6 Nc3 Bb4 Bd2 Qa5 Nge2 Nge7 g3 Nf5 a3 Bxc3 Bxc3 Qb6 Bh3 O-O Bxf5 exf5 O-O Be6 Nf4 Na5 Qf3 Nc4 Nxd5 Bxd5 Qxd5 Rac8 Rfc1 Rfd8 Qf3 Na5 b4 Nc6 d5 Ne7 Rd1 a6 d6 Nc6 Qxf5 g6 Qf6 Rd7 Bd2 Nd8 Bh6 Ne6 Kg2 Qd8 Rdc1 Qxf6 exf6
zxcvbnmzxcvbnm,2024,MisterBiggStuff,2153,0-1,????.??.??,Nf3 d5 d4 c6 c4 g6 e3 Nf6 Nc3 Bg7 b3 O-O Bb2 e6 Qc1 Nbd7 Be2 b6 O-O Bb7 Rd1 Rc8 h3 Qe7 Ba3 c5 Ne5 Nxe5 dxe5 Nd7 f4 f6 cxd5 exd5 Nxd5 Bxd5 Rxd5 fxe5 Bc4 Kh8 Bb2 exf4 Bxg7+ Qxg7 exf4 Nf6 Rd2 Ne4 Re2 Ng3 Rf2 Nf5 Qe1 Rce8 Qf1 Ne3 Qd3 Qxa1+ Kh2 Nxc4 f5 Qf6 bxc4 Qe5+ g3 Rxf5 Rg2 Qe4 Qd6 Qe5
branko,1904,Senya9779,1704,1-0,????.??.??,e4 d5 e5 Bf5 d4 e6 Bd3 Bg6 Bxg6 hxg6 Be3 Qe7 c3 f6 Nf3 c6 Nbd2 Nd7 Qb3 Rb8 O-O-O Nh6 h3 Nf5 g4 Nxe3 fxe3 c5 Qa4 a6 Nb3 Kd8 Qa5+ Kc8 Kb1 c4 Nbd2 Qd8 Qxd8+ Kxd8 e4 Be7 exd5 exd5 h4 Kc7 Nf1 f5 g5 Nb6 Ne3 Rbd8 a3 Kb8 Rh2 Ka7 Rdh1 Rh7 h5 gxh5 Rxh5 Rxh5 Rxh5 g6 Rh7 Re8 Nh4 Bxg5 Neg2 Bxh4 Rxh4 g5 Rh5 Rg8 Ne3 f4 Ng4 Nd7 Kc2 Nf8 Kd2 Ne6 Ke2 Kb6 Kf3 Ka5 Nf6 Rg7 Kg4 Ka4 Nxd5 Kb3 Nb6 Kxb2 d5 Nc5 Nxc4+ Kxc3 Na5 Kd4 e6 Kxd5 e7 Rxe7 Rxg5+ Kd6 Rf5 b6 Nc4+ Kc6 Rf6+ Kd7 Nxb6+ Ke8 Rxf4 Ne6 Re4 Rg7+ Kf5
turaj01,1720,fco_garmx,1790,0-1,????.??.??,e4 c5 Bc4 Nc6 c3 e6 Nf3 Nge7 d4 d5 Bb5 dxe4 Bxc6+ Nxc6 Ng5 cxd4 Nxe4 dxc3 Nbxc3 Bb4 O-O O-O Qg4 f5 Qg3 fxe4 Nxe4 Nd4 Bg5 Ne2+ Kh1 Nxg3+ fxg3 Be7 Rfd1 Qe8 Bf4 Bd7 Re1 Rc8 Rad1 Rc2 Ng5 Bxg5 Bxg5 Bc6 Rd8 Bxg2+ Kg1
FinkelFrand,1888,bellekin,1587,1-0,????.??.??,Nf3 d5 c4 c6 e3 Bf5 Nc3 Nf6 Be2 Nbd7 b3 e5 O-O e4 Nd4 Bg6 Bb2 Qc7 Rc1 Bd6 h3 O-O-O cxd5 cxd5 Nxd5 Nc5 Nxc7 Kxc7 b4 b6 bxc5 bxc5 Nb5+ Kc6 Bxf6 gxf6 Nxd6 Rxd6 Qa4+ Kd5 Qc4+ Kc6 Qxc5+ Kd7 Qc7+ Ke6 Bg4+ f5 Rc6 Rd8 Rxd6+ Rxd6 Be2 Rxd2 Bc4+ Kf6 Qxa7 Rd8 Qb6+ Ke7 a4 Rg8 Rd1 Bh5 Qc7+ Kf8 Rd8+ Kg7 Qg3+ Kh6 Rxg8 Bg6 Bxf7 Bxf7 Qg5#
ojosearp,1745,ver_vas,1857,0-1,????.??.??,e4 d5 exd5 Nf6 Nc3 Nxd5 Bc4 c6 Nf3 Bf5 O-O e6 d4 Be7 Re1 O-O Bf4 Nd7 Bg3 N7f6 Ne2 b5 Bd3 Bxd3 Qxd3 a5 c3 Bd6 Ne5 Qc7 Bh4 Bxe5 dxe5 Qxe5 Nd4 Qd6 Bg3 Qd7 b3 Rfe8 c4 bxc4 bxc4 Nb4 Qc3 Rad8 a3 c5 Nb5 Qd3 Qb2 Nc2 Nc7
tosquiman1,1541,mvs53,1570,0-1,????.??.??,e4 e5 Nf3 d6 b3 Be7 d4 exd4 Nxd4 h6 Bb2 Nf6 Nd2 O-O Bc4 c6 O-O Nbd7 Nf5 Ne5 Nxe7+ Qxe7 Re1 Nxc4 Bxf6 Qxf6 Nxc4 Rd8 e5 dxe5 Qh5 Be6 Nxe5 Re8 Ng4 Bxg4 Qxg4 Re7 a4 Rae8 Kf1 Rxe1+ Rxe1 Rxe1+ Kxe1 Qc3+ Kd1 b5 axb5 cxb5 h4 a5 Qe2 Qd4+ Kc1 Qxh4 Qxb5 Qxf2 Qxa5 Qxg2 b4 Qf1+ Kb2 Qf6+ c3 Qg5 b5 Qe5 b6 Qxa5
MisterBiggStuff,2160,zxcvbnmzxcvbnm,2017,1-0,????.??.??,e4 f5 d4 fxe4 f3 exf3 Nxf3 g6 Bc4 Bg7 O-O e6 d5 e5 Bg5 Ne7 Nxe5 d6 Nf7 Nf5 Bxd8
Tata190,1869,Thoth33,1721,1-0,????.??.??,f4 d5 Nf3 Nf6 e3 e6 d4 c5 c3 Nc6 Bd3 Qb6 Ne5 cxd4 cxd4 Bb4+ Nc3 Nxe5 fxe5 Ne4 Bxe4 dxe4 O-O Bxc3 bxc3 Bd7 Qg4 Bc6 Qxg7 O-O-O Ba3 Rhg8 Qxf7 Bd5 c4 Rdf8 Bxf8
Timur_kh,1669,Milann,1702,0-1,????.??.??,e4 e5 Nf3 d6 d4 Qe7 d5 h6 Bb5+ c6 dxc6 bxc6 Ba4 Qf6 O-O Ne7 c4 g5 Nc3 Ng6 b4 Be7 c5 O-O b5 Bd7 bxc6 Bxc6 Nd5 Bxd5 Qxd5 Na6 cxd6 Qxd6 Bb2 Qxd5 exd5 Bd6 Rfe1 f6 Rac1 Rac8 Bd7 Rc7 Rxc7 Bxc7 Rc1 Bd6 Rc6 Rb8 Bc3 Rb1+ Ne1 Bb4 Bxb4 Nxb4 Rc8+ Nf8 Be6+ Kg7 Kf1 Nd3 Rc7+ Kg6 Bf7+ Kf5 Ke2 Nxe1 d6 Nxg2 d7 Nf4+ Kf3 N8e6 Rxa7 g4+ Kg3 Rd1 Be8 Rd3+ Kh4 Rh3#
1taurus,1594,rotan,1497,0-1,????.??.??,e4 c5 Qh5 e6 Nf3 Nf6 Qh3 Nxe4 Ne5 d6 Nd3 e5 Qe3 Bf5 g4 Bg6 Bg2 Be7 Bxe4 Bxe4 Qxe4 Nc6 c3 O-O Na3 a6 b4 cxb4 cxb4 Qd7 Bb2 a5 b5 Nb4 Nxb4 axb4 Qxb4 d5 Qc3 d4 Qb3 Qxg4 Nc4 Bf6 a4 Qe4+ Kd1 Qxh1+ Kc2 Qxh2 Nd6 Qxf2 Nxb7 Rac8+ Kb1 Qe1+ Ka2 Qxd2 Nd6 Rc2 Nc4 Qe2 Nd6 Rxb2+ Qxb2 Qe3 b6 Be7 Nc4 Qe4 b7 g6 a5 Qd5 Qb3 d3 a6 d2 Rd1 Rb8 Rxd2 Qc6 Nxe5 Qxa6+ Kb2 Rxb7 Qxb7 Qxb7+ Kc2 Qc7+
aurorachess,1811,akhavan1860,1576,0-1,????.??.??,d3 Nf6 e3 d5 f4 e6 Nf3 g6 Be2 Bg7 O-O c5 Nc3 Nc6 b3 a6 Bb2 b5 Rc1 O-O Re1 Ng4 Bf1 b4 Na4 Bxb2 Nxb2 Qf6 Rb1 Qg7 h3 Nf6 e4 dxe4 dxe4 Nh5 Qc1 Bb7 g4 Nf6 e5 Nd5 c4 Nc3 Ra1 Na5 Nd1 Bxf3 Nxc3 bxc3 Qxc3 Bb7 Qxa5 Rad8 Rad1 Qh6 Rxd8 Rxd8 Qxd8+ Kg7 Kh2 Qxf4+ Kg1 Qg3+ Bg2 Qxg2#
saponaro,1914,chesslion,1877,1-0,????.??.??,e4 e6 d4 d5 Nc3 dxe4 Nxe4 f5 Bg5 Nf6 Nxf6+ gxf6 Qh5+ Ke7 Bxf6+ Kxf6 Qh4+ Kf7 Qxd8 Be7 Qxc7 Nc6 O-O-O Rd8 Nf3 Rd7 Qf4 h6 g4 Bd6 Ne5+ Nxe5 dxe5 Be7 Rxd7 Bxd7 gxf5 Bg5 fxe6+ Kxe6 Bh3+ Kd5 Rd1+ Kc5 Qxg5 hxg5 Rxd7 Rf8 e6 Kc6 e7 Re8 Kd2 g4 Bxg4 b5 h3 b4 f4 b3 axb3 Rxe7 Rxe7
